"dgp","L","m","kappa","seed","available","cond","delivered","avail_top","avail_rest","frontier","interior","width","groups"
"affine",50,15,0.666666666666667,50093,0.98,0.959183673469388,0.94,0.8,1,1,0.939393939393939,0.0453116846280497,1
"affine",50,15,0.666666666666667,50094,0.98,0.979591836734694,0.96,0.8,1,1,0.972222222222222,0.0727361844895643,1
"affine",50,15,0.666666666666667,50095,0.96,1,0.96,0.6,1,1,1,0.0759161262204652,1
"affine",50,15,0.666666666666667,50096,0.98,1,0.98,0.8,1,1,1,0.0593951510194186,1
"affine",50,15,0.666666666666667,50097,0.98,1,0.98,0.8,1,1,1,0.0678771903003715,1
"affine",50,15,0.666666666666667,50098,0.98,1,0.98,0.8,1,1,1,0.06896794634899,1
"affine",50,15,0.666666666666667,50099,0.98,0.979591836734694,0.96,0.8,1,1,0.96551724137931,0.0313467148688903,1
"affine",50,15,0.666666666666667,50100,0.96,1,0.96,0.6,1,1,1,0.0707069057374116,1
"affine",50,15,0.666666666666667,50101,0.98,0.979591836734694,0.96,0.8,1,1,0.96875,0.0570129153449336,1
"affine",50,15,0.666666666666667,50102,0.98,0.979591836734694,0.96,0.8,1,1,0.972972972972973,0.0690211712124857,1
"affine",50,15,0.666666666666667,50103,0.98,1,0.98,0.8,1,1,1,0.0899477147895004,1
"affine",50,15,0.666666666666667,50104,0.96,1,0.96,0.6,1,1,1,0.0766942691857979,1
"affine",50,15,0.666666666666667,50105,0.98,0.979591836734694,0.96,0.8,1,0.923076923076923,1,0.0573110636711925,1
"affine",50,15,0.666666666666667,50106,0.96,1,0.96,0.6,1,1,1,0.0584245172081515,1
"affine",50,15,0.666666666666667,50107,0.98,0.816326530612245,0.8,0.8,1,0.714285714285714,0.857142857142857,0.0473208930621303,1
"affine",50,15,0.666666666666667,50108,0.98,1,0.98,0.8,1,1,1,0.0507614264155093,1
"affine",50,15,0.666666666666667,50109,0.98,1,0.98,0.8,1,1,1,0.0546761753615949,1
"affine",50,15,0.666666666666667,50110,0.98,0.755102040816326,0.74,0.8,1,0.625,0.818181818181818,0.0377850516801489,1
"affine",50,15,0.666666666666667,50111,0.96,1,0.96,0.6,1,1,1,0.0575185506565722,1
"affine",50,15,0.666666666666667,50112,0.98,1,0.98,0.8,1,1,1,0.0739572720136925,1
"affine",50,15,0.666666666666667,50113,0.98,1,0.98,0.8,1,1,1,0.0552751376076273,1
"affine",50,15,0.666666666666667,50114,0.98,0.979591836734694,0.96,0.8,1,1,0.96875,0.0336283297991389,1
"affine",50,15,0.666666666666667,50115,0.98,0.959183673469388,0.94,0.8,1,1,0.945945945945946,0.0693937746765694,1
"affine",50,15,0.666666666666667,50116,0.96,0.979166666666667,0.94,0.6,1,1,0.972222222222222,0.0477638596020843,1
"affine",50,15,0.666666666666667,50117,0.98,1,0.98,0.8,1,1,1,0.111380923232687,1
"affine",50,15,0.666666666666667,50118,0.98,1,0.98,0.8,1,1,1,0.0774741369978423,1
"affine",50,15,0.666666666666667,50119,0.96,1,0.96,0.6,1,1,1,0.0696028876981589,1
"affine",50,15,0.666666666666667,50120,0.96,1,0.96,0.6,1,1,1,0.0683235821317702,1
"affine",50,15,0.666666666666667,50121,0.98,0.959183673469388,0.94,0.8,1,1,0.941176470588235,0.0573944374969579,1
"affine",50,15,0.666666666666667,50122,0.96,1,0.96,0.6,1,1,1,0.0606533614122269,1
"affine",50,15,0.666666666666667,50123,0.98,1,0.98,0.8,1,1,1,0.0536496442351254,1
"affine",50,15,0.666666666666667,50124,0.98,0.877551020408163,0.86,0.8,1,1,0.818181818181818,0.0427897425230879,0.5
"affine",50,15,0.666666666666667,50125,0.98,0.979591836734694,0.96,0.8,1,1,0.964285714285714,0.0540322392254872,1
"affine",50,15,0.666666666666667,50126,0.98,1,0.98,0.8,1,1,1,0.0839466137327463,1
"affine",50,15,0.666666666666667,50127,0.96,1,0.96,0.6,1,1,1,0.0793340656035917,1
"affine",50,15,0.666666666666667,50128,0.96,0.916666666666667,0.88,0.6,1,1,0.866666666666667,0.0353679741427187,0.5
"affine",50,15,0.666666666666667,50129,0.96,1,0.96,0.6,1,1,1,0.0728518594216608,1
"affine",50,15,0.666666666666667,50130,0.98,0.959183673469388,0.94,0.8,1,0.9,1,0.0528478968024323,1
"affine",50,15,0.666666666666667,50131,0.98,0.897959183673469,0.88,0.8,1,1,0.857142857142857,0.0528918722980445,1
"affine",50,15,0.666666666666667,50132,0.98,0.938775510204082,0.92,0.8,1,0.894736842105263,0.966666666666667,0.0589002940421175,1
"affine",50,15,0.666666666666667,50133,0.96,0.958333333333333,0.92,0.6,1,1,0.939393939393939,0.0551867481783436,1
"affine",50,15,0.666666666666667,50134,0.98,0.938775510204082,0.92,0.8,1,1,0.896551724137931,0.0608075749966892,1
"affine",50,15,0.666666666666667,50135,0.96,1,0.96,0.6,1,1,1,0.0683536852204236,1
"affine",50,15,0.666666666666667,50136,0.98,1,0.98,0.8,1,1,1,0.0429860932401038,1
"affine",50,15,0.666666666666667,50137,0.98,0.857142857142857,0.84,0.8,1,1,0.805555555555556,0.0518259625131142,1
"affine",50,15,0.666666666666667,50138,0.98,1,0.98,0.8,1,1,1,0.0866585458028569,1
"affine",50,15,0.666666666666667,50139,0.98,0.938775510204082,0.92,0.8,1,1,0.896551724137931,0.0522209404345243,1
"affine",50,15,0.666666666666667,50140,0.98,0.979591836734694,0.96,0.8,1,1,0.96969696969697,0.0517557911770568,1
"affine",50,15,0.666666666666667,50141,0.98,1,0.98,0.8,1,1,1,0.0666556462300801,1
"affine",50,15,0.666666666666667,50142,0.98,1,0.98,0.8,1,1,1,0.0551900174122064,1
"affine",50,15,0.666666666666667,50143,0.98,0.877551020408163,0.86,0.8,1,1,0.818181818181818,0.0733518771234887,0.5
"affine",50,15,0.666666666666667,50144,0.96,1,0.96,0.6,1,1,1,0.0614912540357799,1
"affine",50,15,0.666666666666667,50145,0.98,1,0.98,0.8,1,1,1,0.0526330086567101,1
"affine",50,15,0.666666666666667,50146,0.98,0.877551020408163,0.86,0.8,1,0.894736842105263,0.866666666666667,0.0453169482024632,1
"affine",50,15,0.666666666666667,50147,0.98,0.938775510204082,0.92,0.8,1,0.944444444444444,0.935483870967742,0.0281902874588668,1
"affine",50,15,0.666666666666667,50148,0.98,1,0.98,0.8,1,1,1,0.079499303025407,1
"affine",50,15,0.666666666666667,50149,0.98,0.959183673469388,0.94,0.8,1,1,0.942857142857143,0.0651207924243432,1
"affine",50,15,0.666666666666667,50150,0.98,1,0.98,0.8,1,1,1,0.0886306131676747,1
"affine",50,15,0.666666666666667,50151,0.98,0.938775510204082,0.92,0.8,1,1,0.914285714285714,0.0537605838458663,1
"affine",50,15,0.666666666666667,50152,0.98,0.918367346938776,0.9,0.8,1,1,0.894736842105263,0.0858112301792804,1
"affine",50,15,0.666666666666667,50153,0.96,0.958333333333333,0.92,0.6,1,1,0.941176470588235,0.0463163348677119,1
"affine",50,15,0.666666666666667,50154,0.98,1,0.98,0.8,1,1,1,0.055284169106092,1
"affine",50,15,0.666666666666667,50155,0.96,0.895833333333333,0.86,0.6,1,0.846153846153846,0.914285714285714,0.0420421655785124,1
